INFO 2025-06-01 11:47:24,184 autoreload 18968 6860 Watching for file changes with StatReloader
INFO 2025-06-01 11:48:44,505 autoreload 21636 22852 Watching for file changes with StatReloader
INFO 2025-06-01 11:55:27,732 autoreload 21636 22852 C:\Users\USER\Desktop\Dev_Projects\fsfvi\backend\django_app\fsfvi\services.py changed, reloading.
INFO 2025-06-01 11:55:28,502 autoreload 20092 13536 Watching for file changes with StatReloader
INFO 2025-06-01 11:55:40,609 autoreload 20092 13536 C:\Users\USER\Desktop\Dev_Projects\fsfvi\backend\django_app\fsfvi\services.py changed, reloading.
INFO 2025-06-01 11:55:41,462 autoreload 8340 23504 Watching for file changes with StatReloader
INFO 2025-06-01 11:56:01,171 autoreload 8340 23504 C:\Users\USER\Desktop\Dev_Projects\fsfvi\backend\django_app\fsfvi\services.py changed, reloading.
INFO 2025-06-01 11:56:01,949 autoreload 20672 5232 Watching for file changes with StatReloader
INFO 2025-06-01 11:56:17,229 autoreload 20672 5232 C:\Users\USER\Desktop\Dev_Projects\fsfvi\backend\django_app\fsfvi\services.py changed, reloading.
INFO 2025-06-01 11:56:18,063 autoreload 19440 20576 Watching for file changes with StatReloader
INFO 2025-06-01 11:58:30,149 autoreload 19440 20576 C:\Users\USER\Desktop\Dev_Projects\fsfvi\backend\django_app\fsfvi\services.py changed, reloading.
INFO 2025-06-01 11:58:31,027 autoreload 18476 16840 Watching for file changes with StatReloader
WARNING 2025-06-01 12:12:42,789 log 18476 17276 Not Found: /
WARNING 2025-06-01 12:12:42,790 basehttp 18476 17276 "GET / HTTP/1.1" 404 2268
WARNING 2025-06-01 12:12:42,800 log 18476 17276 Not Found: /calculate_fsfvi
WARNING 2025-06-01 12:12:42,801 basehttp 18476 17276 "POST /calculate_fsfvi HTTP/1.1" 404 2332
WARNING 2025-06-01 12:12:42,808 log 18476 17276 Not Found: /optimize_allocation
WARNING 2025-06-01 12:12:42,809 basehttp 18476 17276 "POST /optimize_allocation HTTP/1.1" 404 2344
WARNING 2025-06-01 12:12:42,818 log 18476 17276 Not Found: /simulate_shock
WARNING 2025-06-01 12:12:42,819 basehttp 18476 17276 "POST /simulate_shock HTTP/1.1" 404 2329
WARNING 2025-06-01 12:12:42,824 log 18476 17276 Not Found: /performance_gaps
WARNING 2025-06-01 12:12:42,825 basehttp 18476 17276 "POST /performance_gaps HTTP/1.1" 404 2335
INFO 2025-06-01 12:15:41,723 autoreload 18476 16840 C:\Users\USER\Desktop\Dev_Projects\fsfvi\backend\django_app\fsfvi\services.py changed, reloading.
INFO 2025-06-01 12:15:42,684 autoreload 10872 7868 Watching for file changes with StatReloader
INFO 2025-06-01 12:16:00,208 autoreload 10872 7868 C:\Users\USER\Desktop\Dev_Projects\fsfvi\backend\django_app\fsfvi\services.py changed, reloading.
INFO 2025-06-01 12:16:01,103 autoreload 17912 16896 Watching for file changes with StatReloader
INFO 2025-06-01 12:17:43,621 autoreload 16468 11764 Watching for file changes with StatReloader
INFO 2025-06-01 12:29:21,136 autoreload 22612 11120 Watching for file changes with StatReloader
INFO 2025-06-01 13:12:33,397 autoreload 16484 11672 Watching for file changes with StatReloader
INFO 2025-06-03 15:03:02,867 autoreload 9332 11776 Watching for file changes with StatReloader
